
 For  Li(  6) - Li(  6)
 ----------------------
   v       E            Bv           -Dv             Hv             Lv            Mv             Nv             Ov
   7  -5337.4479  0.4534702661 -8.1735595D-06  9.7676707D-11 -2.6651750D-15  5.6539448D-20 -2.2875771D-24  3.9708129D-29
   8  -5123.3246  0.4457897323 -8.1493698D-06  9.6477708D-11 -2.7603028D-15  5.6737474D-20 -2.3199475D-24  3.3731720D-29
   9  -4913.8361  0.4381079098 -8.1288050D-06  9.5132370D-11 -2.8540190D-15  5.6426518D-20 -2.3578323D-24  2.6497602D-29
  10  -4708.9792  0.4304200851 -8.1119807D-06  9.3631336D-11 -2.9465428D-15  5.5539639D-20 -2.4042216D-24  1.8119512D-29
  11  -4508.7530  0.4227214027 -8.0989959D-06  9.1966197D-11 -3.0386213D-15  5.4014989D-20 -2.4605314D-24  8.6212112D-30
  12  -4313.1586  0.4150069479 -8.0899420D-06  9.0127944D-11 -3.1313506D-15  5.1803194D-20 -2.5273633D-24 -2.0028259D-30
  13  -4122.1995  0.4072717994 -8.0849101D-06  8.8106289D-11 -3.2260083D-15  4.8870747D-20 -2.6052397D-24 -1.3995627D-29
  14  -3935.8810  0.3995110615 -8.0839979D-06  8.5889661D-11 -3.3239129D-15  4.5199014D-20 -2.6948771D-24 -2.7389882D-29
  15  -3754.2101  0.3917198842 -8.0873120D-06  8.3465706D-11 -3.4263063D-15  4.0782410D-20 -2.7978498D-24 -4.2514353D-29
  16  -3577.1958  0.3838934795 -8.0949677D-06  8.0822112D-11 -3.5342716D-15  3.5623989D-20 -2.9166951D-24 -5.9634467D-29
  17  -3404.8482  0.3760271418 -8.1070852D-06  7.7947611D-11 -3.6486778D-15  2.9731449D-20 -3.0550056D-24 -7.9112812D-29
  18  -3237.1791  0.3681162778 -8.1237826D-06  7.4833073D-11 -3.7701494D-15  2.3113199D-20 -3.2174246D-24 -1.0133214D-28
  19  -3074.2012  0.3601564503 -8.1451658D-06  7.1472558D-11 -3.8990546D-15  1.5775559D-20 -3.4093954D-24 -1.2652152D-28
  20  -2915.9282  0.3521434396 -8.1713162D-06  6.7864327D-11 -4.0355015D-15  7.7226125D-21 -3.6372160D-24 -1.5576492D-28
  21  -2762.3744  0.3440733236 -8.2022771D-06  6.4011729D-11 -4.1793439D-15 -1.0448968D-21 -3.9068472D-24 -1.8857277D-28
  22  -2613.5542  0.3359425768 -8.2380385D-06  5.9924008D-11 -4.3301719D-15 -1.0524369D-20 -4.2244900D-24 -2.2592181D-28
  23  -2469.4818  0.3277481885 -8.2785213D-06  5.5617023D-11 -4.4873006D-15 -2.0708530D-20 -4.5954995D-24 -2.6794207D-28
  24  -2330.1706  0.3194877977 -8.3235612D-06  5.1113890D-11 -4.6497434D-15 -3.1578989D-20 -5.0243228D-24 -3.1513418D-28
  25  -2195.6326  0.3111598415 -8.3728932D-06  4.6445573D-11 -4.8161747D-15 -4.3100241D-20 -5.5140945D-24 -3.6814710D-28
  26  -2065.8777  0.3027637167 -8.4261367D-06  4.1651411D-11 -4.9848857D-15 -5.5214128D-20 -6.0663147D-24 -4.2690124D-28
  27  -1940.9129  0.2942999473 -8.4827812D-06  3.6779551D-11 -5.1537417D-15 -6.7835080D-20 -6.6810222D-24 -4.9208869D-28
  28  -1820.7413  0.2857703552 -8.5421743D-06  3.1887220D-11 -5.3201524D-15 -8.0848223D-20 -7.3570605D-24 -5.6426841D-28
  29  -1705.3615  0.2771782286 -8.6035122D-06  2.7040737D-11 -5.4810763D-15 -9.4112402D-20 -8.0923853D-24 -6.4373913D-28
  30  -1594.7663  0.2685284804 -8.6658330D-06  2.2315147D-11 -5.6330652D-15 -1.0746718D-19 -8.8852255D-24 -7.3119746D-28
  31  -1488.9415  0.2598277897 -8.7280158D-06  1.7793290D-11 -5.7723765D-15 -1.2074677D-19 -9.7362509D-24 -8.2891576D-28
  32  -1387.8655  0.2510847169 -8.7887843D-06  1.3564143D-11 -5.8951748D-15 -1.3380487D-19 -1.0649281D-23 -9.3709348D-28
  33  -1291.5076  0.2423097835 -8.8467191D-06  9.7202939D-12 -5.9978113D-15 -1.4654094D-19 -1.1635955D-23 -1.0594516D-27
  34  -1199.8275  0.2335155044 -8.9002779D-06  6.3543900D-12 -6.0772131D-15 -1.5893924D-19 -1.2717009D-23 -1.2002840D-27
  35  -1112.7745  0.2247163640 -8.9478259D-06  3.5545754D-12 -6.1313351D-15 -1.7110645D-19 -1.3925488D-23 -1.3626166D-27
  36  -1030.2861  0.2159287239 -8.9876771D-06  1.3989994D-12 -6.1596657D-15 -1.8330781D-19 -1.5308238D-23 -1.5518322D-27
  37   -952.2884  0.2071706570 -9.0181450D-06 -5.0275552D-14 -6.1636794D-15 -1.9598476D-19 -1.6929221D-23 -1.7816495D-27
  38   -878.6952  0.1984617021 -9.0376028D-06 -7.5353873D-13 -6.1472390D-15 -2.0976955D-19 -1.8859183D-23 -2.0517491D-27
  39   -809.4081  0.1898225400 -9.0445490D-06 -6.9908420D-13 -6.1167311D-15 -2.2544511D-19 -2.1177473D-23 -2.3726629D-27
  40   -744.3168  0.1812745979 -9.0376755D-06  9.2499654D-14 -6.0809378D-15 -2.4388717D-19 -2.3965099D-23 -2.7579225D-27
  41   -683.2996  0.1728395961 -9.0159316D-06  1.5662440D-12 -6.0505860D-15 -2.6598002D-19 -2.7287079D-23 -3.2077218D-27
  42   -626.2242  0.1645390576 -8.9785784D-06  3.6336672D-12 -6.0375010D-15 -2.9250139D-19 -3.1189755D-23 -3.7196584D-27
  43   -572.9488  0.1563938053 -8.9252281D-06  6.1769556D-12 -6.0534433D-15 -3.2399527D-19 -3.5711464D-23 -4.3232686D-27
  44   -523.3237  0.1484234787 -8.8558626D-06  9.0562307D-12 -6.1089589D-15 -3.6072893D-19 -4.0854802D-23 -5.0072851D-27
